original_image_size	scale_source	count
1024,768	Keyence fixed scale	5148020
1024,768	scalebar pipeline	1683
2880,2160	Keyence fixed scale	620
1024,769	scalebar pipeline	165
2160,1620	Keyence fixed scale	53
1024,770	scalebar pipeline	42
1024,634	scalebar pipeline	28
1024,772	scalebar pipeline	19
1024,771	scalebar pipeline	14
1024,683	scalebar pipeline	12
1024,767	scalebar pipeline	8
1024,773	scalebar pipeline	8
1024,769	Keyence fixed scale	7
1024,767	Keyence fixed scale	6
1024,659	scalebar pipeline	6
1024,709	scalebar pipeline	4
1024,756	scalebar pipeline	4
1024,764	scalebar pipeline	4
1024,634	Keyence fixed scale	3
1024,450	scalebar pipeline	2
1024,689	scalebar pipeline	2
1024,737	scalebar pipeline	2
1024,745	scalebar pipeline	2
1024,763	scalebar pipeline	2
1024,774	scalebar pipeline	2
1024,775	scalebar pipeline	2
2880,2160	scalebar pipeline	2
3960,2970	scalebar pipeline	2
1024,709	Keyence fixed scale	1
1024,766	Keyence fixed scale	1
1024,773	Keyence fixed scale	1
1024,792	Keyence fixed scale	1
2794,2096	Keyence fixed scale	1
3822,2867	Keyence fixed scale	1
641,481	Keyence fixed scale	1
10094,7571	scalebar pipeline	1
1024,1024	scalebar pipeline	1
1024,1026	scalebar pipeline	1
1024,1047	scalebar pipeline	1
1024,1055	scalebar pipeline	1
1024,1057	scalebar pipeline	1
1024,1061	scalebar pipeline	1
1024,1096	scalebar pipeline	1
1024,1105	scalebar pipeline	1
1024,1135	scalebar pipeline	1
1024,1194	scalebar pipeline	1
1024,1198	scalebar pipeline	1
1024,1208	scalebar pipeline	1
1024,1262	scalebar pipeline	1
1024,1447	scalebar pipeline	1
1024,1578	scalebar pipeline	1
1024,505	scalebar pipeline	1
1024,520	scalebar pipeline	1
1024,576	scalebar pipeline	1
1024,581	scalebar pipeline	1
1024,665	scalebar pipeline	1
1024,699	scalebar pipeline	1
1024,708	scalebar pipeline	1
1024,712	scalebar pipeline	1
1024,714	scalebar pipeline	1
1024,717	scalebar pipeline	1
1024,719	scalebar pipeline	1
1024,722	scalebar pipeline	1
1024,734	scalebar pipeline	1
1024,736	scalebar pipeline	1
1024,738	scalebar pipeline	1
1024,742	scalebar pipeline	1
1024,749	scalebar pipeline	1
1024,751	scalebar pipeline	1
1024,758	scalebar pipeline	1
1024,765	scalebar pipeline	1
1024,766	scalebar pipeline	1
1024,776	scalebar pipeline	1
1024,778	scalebar pipeline	1
1024,783	scalebar pipeline	1
1024,787	scalebar pipeline	1
1024,791	scalebar pipeline	1
1024,819	scalebar pipeline	1
1024,823	scalebar pipeline	1
1024,824	scalebar pipeline	1
1024,865	scalebar pipeline	1
1024,874	scalebar pipeline	1
1024,924	scalebar pipeline	1
1024,925	scalebar pipeline	1
1024,975	scalebar pipeline	1
1024,977	scalebar pipeline	1
1024,987	scalebar pipeline	1
10603,7952	scalebar pipeline	1
2606,1954	scalebar pipeline	1
2680,2011	scalebar pipeline	1
2737,2052	scalebar pipeline	1
2966,2224	scalebar pipeline	1
3111,2334	scalebar pipeline	1
3132,2348	scalebar pipeline	1
3156,2367	scalebar pipeline	1
3243,2432	scalebar pipeline	1
3295,2471	scalebar pipeline	1
3313,2485	scalebar pipeline	1
3353,2515	scalebar pipeline	1
3365,2523	scalebar pipeline	1
3374,2530	scalebar pipeline	1
3393,2545	scalebar pipeline	1
3458,2594	scalebar pipeline	1
3469,2602	scalebar pipeline	1
3471,2603	scalebar pipeline	1
3480,2610	scalebar pipeline	1
3548,2661	scalebar pipeline	1
3643,2732	scalebar pipeline	1
3674,2756	scalebar pipeline	1
3705,2778	scalebar pipeline	1
3722,2791	scalebar pipeline	1
3728,2797	scalebar pipeline	1
3744,2808	scalebar pipeline	1
3808,2856	scalebar pipeline	1
3831,2873	scalebar pipeline	1
3922,2942	scalebar pipeline	1
3991,2994	scalebar pipeline	1
4084,3063	scalebar pipeline	1
4104,3078	scalebar pipeline	1
4187,3139	scalebar pipeline	1
4231,3173	scalebar pipeline	1
4285,3214	scalebar pipeline	1
4895,3671	scalebar pipeline	1
5027,3770	scalebar pipeline	1
5144,3858	scalebar pipeline	1
5395,4046	scalebar pipeline	1
5470,4102	scalebar pipeline	1
5579,4184	scalebar pipeline	1
5626,4220	scalebar pipeline	1
5763,4322	scalebar pipeline	1
5820,4365	scalebar pipeline	1
5883,4412	scalebar pipeline	1
6009,4507	scalebar pipeline	1
6094,4570	scalebar pipeline	1
6108,4581	scalebar pipeline	1
6244,4683	scalebar pipeline	1
6411,4808	scalebar pipeline	1
6498,4874	scalebar pipeline	1
6522,4892	scalebar pipeline	1
6845,5134	scalebar pipeline	1
6995,5246	scalebar pipeline	1
7043,5283	scalebar pipeline	1
7445,5583	scalebar pipeline	1
7495,5621	scalebar pipeline	1
7498,5623	scalebar pipeline	1
7688,5766	scalebar pipeline	1
8143,6108	scalebar pipeline	1
8158,6119	scalebar pipeline	1
8527,6394	scalebar pipeline	1
8691,6518	scalebar pipeline	1
9225,6919	scalebar pipeline	1
9301,6976	scalebar pipeline	1
9655,7241	scalebar pipeline	1
9782,7337	scalebar pipeline	1
